Country,total
Afghanistan,9690
Albania,77
Algeria,2720
Andorra,1
Angola,491
Antigua and Barbuda,1
Argentina,804
Armenia,22
Australia,88
Austria,106
Azerbaijan,45
Bahamas,5
Bahrain,182
Bangladesh,1513
Barbados,3
Belarus,13
Belgium,142
Belize,8
Benin,8
Bhutan,6
Bolivia,314
Bosnia-Herzegovina,159
Botswana,10
Brazil,267
Brunei,1
Bulgaria,51
Burkina Faso,9
Burundi,504
Cambodia,258
Cameroon,180
Canada,76
Central African Republic,202
Chad,80
Chile,2334
China,242
Colombia,8077
Comoros,5
Costa Rica,67
Croatia,57
Cuba,30
Cyprus,130
Czech Republic,27
Czechoslovakia,10
Democratic Republic of the Congo,459
Denmark,40
Djibouti,21
Dominica,3
Dominican Republic,89
East Germany (GDR),38
East Timor,10
Ecuador,215
Egypt,1799
El Salvador,5320
Equatorial Guinea,2
Eritrea,10
Estonia,16
Ethiopia,150
Falkland Islands,1
Fiji,17
Finland,15
France,2617
French Guiana,7
French Polynesia,3
Gabon,4
Gambia,3
Georgia,212
Germany,649
Ghana,18
Gibraltar,1
Greece,1200
Grenada,5
Guadeloupe,56
Guatemala,2050
Guinea,24
Guinea-Bissau,9
Guyana,25
Haiti,212
Honduras,321
Hong Kong,26
Hungary,45
Iceland,4
India,9940
Indonesia,714
International,1
Iran,667
Iraq,18770
Ireland,274
Israel,2085
Italy,1545
Ivory Coast,60
Jamaica,34
Japan,400
Jordan,92
Kazakhstan,24
Kenya,517
Kosovo,180
Kuwait,74
Kyrgyzstan,28
Laos,22
Latvia,16
Lebanon,2413
Lesotho,29
Liberia,33
Libya,1643
Lithuania,8
Luxembourg,16
Macau,33
Macedonia,117
Madagascar,26
Malawi,4
Malaysia,76
Maldives,17
Mali,319
Malta,20
Martinique,12
Mauritania,18
Mauritius,2
Mexico,499
Moldova,20
Montenegro,5
Morocco,36
Mozambique,272
Myanmar,347
Namibia,151
Nepal,923
Netherlands,121
New Caledonia,31
New Hebrides,1
New Zealand,18
Nicaragua,1970
Niger,116
Nigeria,2888
North Korea,1
North Yemen,6
Norway,18
Pakistan,12768
Panama,126
Papua New Guinea,81
Paraguay,89
People's Republic of the Congo,3
Peru,6085
Philippines,5576
Poland,34
Portugal,139
Qatar,7
Republic of the Congo,21
Rhodesia,83
Romania,6
Russia,2104
Rwanda,156
Saudi Arabia,193
Senegal,118
Serbia,11
Serbia-Montenegro,11
Seychelles,2
Sierra Leone,97
Singapore,7
Slovak Republic,17
Slovenia,6
Solomon Islands,4
Somalia,2890
South Africa,1957
South Korea,37
South Sudan,111
South Vietnam,1
South Yemen,2
Soviet Union,78
Spain,3239
Sri Lanka,2982
St. Kitts and Nevis,2
St. Lucia,1
Sudan,688
Suriname,66
Swaziland,16
Sweden,102
Switzerland,107
Syria,1468
Taiwan,47
Tajikistan,184
Tanzania,50
Thailand,3338
Togo,48
Trinidad and Tobago,22
Tunisia,92
Turkey,3557
Turkmenistan,2
Uganda,366
Ukraine,1583
United Arab Emirates,22
United Kingdom,4992
United States,2693
Uruguay,75
Uzbekistan,21
Vanuatu,2
Vatican City,1
Venezuela,269
Vietnam,10
Wallis and Futuna,1
West Bank and Gaza Strip,1990
West Germany (FRG),541
Western Sahara,5
Yemen,2598
Yugoslavia,203
Zaire,48
Zambia,60
Zimbabwe,98
