year,attack
1970,651
1971,470
1972,493
1973,473
1974,580
1975,739
1976,922
1977,1318
1978,1526
1979,2641
1980,2653
1981,2569
1982,2532
1983,2823
1984,3335
1985,2876
1986,2764
1987,3018
1988,3363
1989,3998
1990,3538
1991,4344
1992,4836
1994,3351
1995,2902
1996,2845
1997,3007
1998,872
1999,1284
2000,1634
2001,1674
2002,1150
2003,1066
2004,1053
2005,1866
2006,2584
2007,3092
2008,4271
2009,4048
2010,4160
2011,4424
2012,7887
2013,11296
2014,15980
2015,13924
